id,payment_status,created_at,score,icc,status,age,gender,income,housing_type,economic_dependents,occupancy_type,level_of_studies,tenure,state,reasson,rate,term,total_debt,amount_to_be_lend,marital_status,1_day_>_delinquencies_in_the_last_6_months,30_days_>_delinquencies_in_the_last_12_months,Account_has_an_important_observation_code,Check_if_the_user_has_other_loan_requests_in_ANALYSIS,Check_if_the_user_has_past_approved_loan_request,Check_if_the_user_has_past_rejected_loan_request,Counting_all_loans,Counting_installment_loans_type_I__M__O__X,Counting_revolvent_loans_type_R,DebtWithoutRE&12mAU___AnualIncome,DebtWithoutRE_AnualIncome_Ratio,Debt_To_Income_ratio_(Digitt_12_months),Debt_To_Income_ratio_(Digitt_15_months),Debt_To_Income_ratio_(Digitt_9_months),Digitt_payment_12_months_VS_average_last_payments,Digitt_payment_15_months_VS_average_last_payments,Digitt_payment_9_months_VS_average_last_payments,Employer_matches_to_Buro_employer,Evaluating_how_long_the_user_has_been_in_buro,Get_accounts_opened_recently.,Inquiries_in_the_last_6_months,Loan_request_Address_matches_to_Buros_Address,Percentage_of_revolving_credit_solved_by_digitt_credit._digitt_credit_all_revolving_credit,Personal_info_matches_to_Buros_personal_info,Revolving_LoC_Usage_ratio,bank_0,name_0,match_balance_address_0,loan_amount_0,rate_0,bank_1,name_1,match_balance_address_1,loan_amount_1,rate_1,bank_2,name_2,match_balance_address_2,loan_amount_2,rate_2,bank_3,name_3,match_balance_address_3,loan_amount_3,rate_3,bank_4,name_4,match_balance_address_4,loan_amount_4,rate_4
6901,Too early to know,2019-07-08 07:34:57.051804+00,642,4,APPROVED,21,M,20000,FAMILIA,0,Negocio propio,Preparatoria,5,Tabasco,,33,15,21000,21000,SOLTERO,,0,,,1,,7,4,3,0.2683,0.2683,0.2546,0.2371,0.284,0.9875,0.8253,1.2593,0,31.6703,4,14,0.5,0.804,1,0.9638,BBVA Bancomer,Azul,1,21000,102.96,,,,,,,,,,,,,,,,,,,,
6883,,2019-07-08 03:17:44.57587+00,693,8,REJECTED,35,F,30000,PROPIO,2,Empleado,Licenciatura,3,Nuevo León,LOAN_LARGER_60K,26,15,88169,88168.13,SOLTERO,0,0,CL|FN,,,,10,3,7,0.9915,0.9915,1.3945,1.3453,1.4767,1.3885,1.1505,1.7865,0.47619,157.664,0,2,0.5,0.2498,1,0.8888,HSBC,Oro,0,88168.13,63.36,,,,,,,,,,,,,,,,,,,,
6851,Too early to know,2019-07-07 17:02:25.175454+00,711,8,APPROVED,31,M,20000,PROPIO,0,Empleado,Posgrado,3,Aguascalientes,,23,12,45000,43000,SOLTERO,0,0,,,,1,4,3,1,0.7628,0.7628,0.4326,0.3966,0.4927,0.3516,0.2902,0.4541,0.307692,132.583,1,2,0.347826,1.0805,1,0.7959,Citibanamex,Oro,-1,43000,70.92,,,,,,,,,,,,,,,,,,,,
6844,,2019-07-07 12:31:20.099922+00,694,5,REJECTED,29,M,12000,FAMILIA,1,Empleado,Preparatoria,8,Ciudad de México,LOAN_LARGER_60K | HIGH_CREDIT_LINE_USAGE | MONTHLY_DEBT_PAYMENT,26,12,87000,84753,SOLTERO,0,0,,,,,9,3,6,0.9926,0.9926,0.969,0.8509,1.1666,,,,0.4,89.6771,0,2,0.685185,0.8395,1,1.0198,Inbursa,Telcel Inbursa,0,38645,43.08,Citibanamex,Clásica,0,5947,72.72,Inbursa,Sam's Club,0,13000,92.4,Citibanamex,Oro,0,13485,70.92,Inbursa,Clásica,0,13676,58.56
6840,Too early to know,2019-07-07 07:15:59.995292+00,655,7,APPROVED,22,M,24000,RENTADO,0,Negocio propio,Licenciatura,0,Tamaulipas,,31,9,21000,21608,SOLTERO,0,0,,,,,3,0,2,0.0757,0.0757,0.0904,0.0754,0.1156,0.3101,0.2585,0.3964,0.111111,45.4365,2,5,0.907216,0.9912,1,0.8755,BanCoppel,BanCoppel Visa,0,21608,63.5,,,,,,,,,,,,,,,,,,,,
6827,Too early to know,2019-07-06 22:29:20.68342+00,691,8,APPROVED,23,F,7000,FAMILIA,0,Empleado,Licenciatura,0,Ciudad de México,,26,12,7000,9500,SOLTERO,0,0,,,,,1,0,1,0.0788,0.0788,0.1324,0.1097,0.1704,0.2095,0.1736,0.2695,0.111111,19.1525,0,6,0.46729,1.4353,1,0.4413,Citibanamex,Affinity Card,1,9500,56.75,,,,,,,,,,,,,,,,,,,,
6809,,2019-07-06 17:30:04.09161+00,683,3,REJECTED,31,M,11000,FAMILIA,1,Empleado,Preparatoria,3,Ciudad de México,MONTHLY_DEBT_PAYMENT | LOAN_LARGER_60K,27,15,100000,100171.64,UNION_LIBRE,,0,,,,,8,4,4,1.7025,1.7025,1.6775,1.5252,1.9322,1.6568,1.3746,2.1291,0.705882,61.784,3,15,0.380952,1.0279,1,0.9924,Inbursa,Interjet Platinum,1,49945.92,25.56,Inbursa,Telcel Inbursa,1,40225.72,38,Inbursa,Clásica,1,10000,48,,,,,,,,,,
6802,Too early to know,2019-07-06 16:31:45.056935+00,697,8,APPROVED,37,M,63000,RENTADO,2,Negocio propio,Posgrado,4,Jalisco,,25,12,34790,32148.62,CASADO,0,0,AD,,1,,4,1,3,0.3062,0.3062,0.3622,0.3536,0.3764,2.4875,2.0586,3.2048,0.117647,143.683,1,3,0.859813,0.1748,1,0.5847,BBVA Bancomer,Azul,-1,32148.62,102.96,,,,,,,,,,,,,,,,,,,,
6782,,2019-07-06 04:48:32.523095+00,676,8,REJECTED,30,M,12000,PROPIO,2,Empleado,Licenciatura,5,Sinaloa,MONTHLY_DEBT_PAYMENT,28,15,36670,36656.52,UNION_LIBRE,0,0,,,,,5,849,4,0.5447,0.5447,0.726,0.6749,0.8114,0.9358,0.7774,1.201,0.111111,124.266,1,2,0.650602,0.4724,1,0.8669,BanCoppel,BanCoppel Visa,0,36656.52,63.5,,,,,,,,,,,,,,,,,,,,
6768,Too early to know,2019-07-05 22:20:31.716743+00,649,5,APPROVED,19,M,80000,FAMILIA,0,Negocio propio,Preparatoria,2,Chihuahua,,32,9,19612,16161.79,SOLTERO,0,0,,,,1,9,3,6,0.0487,0.0487,0.0538,0.0504,0.0594,0.0922,0.077,0.1178,1,19.1201,4,39,0.823529,0.5738,1,0.407,BBVA Bancomer,Azul,1,16161.79,102.96,,,,,,,,,,,,,,,,,,,,
